"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","14","347","","ROSARIO SEC.14A BELGRANO","4663","","2015-06-15 00:11:16"
"ROSARIO","15","355","","GDERO. BAIGORRIA","5723","","2015-06-15 00:09:24"
"ROSARIO","13","323","","ROSARIO SEC. 4A","3858","","2015-06-15 00:08:16"
"SANTAFE","07","227","A","ING. CHANOURDIE","1707","E","2015-06-15 00:07:55"
"SANTAFE","09","014","","STA.FE (SEC. 6A BARRANQ.)","2315","","2015-06-15 00:07:39"
"SANTAFE","09","018","","ALTO VERDE","2652","","2015-06-15 00:01:57"
"SANTAFE","12","285","","TOSTADO","3508","","2015-06-15 00:01:51"
"ROSARIO","01","405","","MONTES DE OCA","101","","2015-06-15 00:00:08"
"ROSARIO","14","349","","ROSARIO SEC.13A B.VISTA","5014","","2015-06-15 00:00:04"
"SANTAFE","10","023","","RECREO","2942","","2015-06-14 23:59:06"
"SANTAFE","11","053","","FRANCK","3299","","2015-06-14 23:57:50"
"SANTAFE","11","044","","SAN CARLOS CENTRO","3233","","2015-06-14 23:56:14"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3060","","2015-06-14 23:55:18"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2504","","2015-06-14 23:54:16"
"ROSARIO","14","342","","ROSARIO SEC.10A ALBERDI","4232","","2015-06-14 23:52:02"
"ROSARIO","13","334","","ROSARIO SEC. 6A","4079","","2015-06-14 23:51:05"
"SANTAFE","09","009","","STA.FE (SEC. 3A)","2163","","2015-06-14 23:50:50"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5222","","2015-06-14 23:47:03"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3104","","2015-06-14 23:46:21"
"SANTAFE","09","011","A","STA.FE (SUB.COM. 2A)","2234","","2015-06-14 23:46:16"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2485","","2015-06-14 23:44:40"
"ROSARIO","02","374","","LOS QUIRQUINCHOS","289","","2015-06-14 23:43:29"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2520","","2015-06-14 23:41:55"
"SANTAFE","09","019","","STA.FE (SEC.8A GUADALUPE)","2704","","2015-06-14 23:41:11"
"SANTAFE","03","128","B","RAFAELA (SEC. 2A)","540","","2015-06-14 23:39:45"
"ROSARIO","15","362","F","VILLA GOB GALVEZ","6335","","2015-06-14 23:37:59"
"ROSARIO","14","347","","ROSARIO SEC.14A BELGRANO","4647","","2015-06-14 23:36:18"
"ROSARIO","15","362","A","VILLA GOBERNADOR GALVEZ","6201","","2015-06-14 23:35:50"
"ROSARIO","14","358","","ROSARIO SEC.10A SARMIENTO","5849","","2015-06-14 23:32:19"
"SANTAFE","16","178","","CERES","6422","","2015-06-14 23:30:36"
"ROSARIO","18","079","","CORONDA","6676","","2015-06-14 23:30:10"
"SANTAFE","07","225","","AVELLANEDA","1664","","2015-06-14 23:27:47"
"ROSARIO","04","384","","VILLA CONSTITUCION","845","","2015-06-14 23:21:29"
"ROSARIO","15","341","","ACEBAL","4188","","2015-06-14 23:20:54"
"SANTAFE","09","013","","STA.FE (SEC. 5A S.CABRAL)","2305","","2015-06-14 23:18:13"
"ROSARIO","04","384","","VILLA CONSTITUCION","813","","2015-06-14 23:17:56"
"ROSARIO","06","401","A","WHEELWRIGHT","1428","","2015-06-14 23:16:21"
"ROSARIO","01","403","","LAS PAREJAS","34","","2015-06-14 23:13:38"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5175","","2015-06-14 23:12:06"
"SANTAFE","09","008","","STA.FE (SEC. 2A)","2131","","2015-06-14 23:11:57"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5230","","2015-06-14 23:08:12"
"ROSARIO","02","371","","CHAÑAR LADEADO","272","","2015-06-14 23:03:13"
"ROSARIO","15","345","","ARROYO SECO","4527","","2015-06-14 23:02:45"
"SANTAFE","03","118","","SUNCHALES","347","","2015-06-14 22:59:50"
"ROSARIO","13","302","","ROSARIO SEC. 1A","3562","","2015-06-14 22:55:01"
"ROSARIO","18","083","","GALVEZ","6737","","2015-06-14 22:52:54"
"SANTAFE","19","212","","MARCELINO ESCALADA","6917","","2015-06-14 22:52:12"
"ROSARIO","13","328","","ROSARIO SEC. 5A","3930","","2015-06-14 22:51:24"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2511","","2015-06-14 22:49:45"
"ROSARIO","06","390","A","FIRMAT","1085","","2015-06-14 22:43:34"
"ROSARIO","04","384","","VILLA CONSTITUCION","816","","2015-06-14 22:42:38"
"ROSARIO","18","084","","AROCENA","6742","E","2015-06-14 22:41:47"
"ROSARIO","14","342","","ROSARIO SEC.10A ALBERDI","4230","","2015-06-14 22:41:09"
"SANTAFE","03","118","","SUNCHALES","373","","2015-06-14 22:38:32"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5070","","2015-06-14 22:38:30"
"SANTAFE","16","185","","SAN CRISTOBAL","6489","","2015-06-14 22:37:50"
"SANTAFE","07","224","","RECONQUISTA","1532","","2015-06-14 22:36:32"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2540","","2015-06-14 22:32:04"
"ROSARIO","14","342","","ROSARIO SEC.10A ALBERDI","4201","","2015-06-14 22:29:33"
"SANTAFE","03","128","B","RAFAELA (SEC. 2A)","539","","2015-06-14 22:28:28"
"SANTAFE","10","023","","RECREO","2939","","2015-06-14 22:25:28"
"ROSARIO","01","404","A","LAS ROSAS","81","","2015-06-14 22:19:13"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4986","","2015-06-14 22:18:50"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3111","","2015-06-14 22:16:57"
"ROSARIO","08","410","","CORREA","1947","","2015-06-14 22:14:23"
"SANTAFE","03","118","","SUNCHALES","369","","2015-06-14 22:13:16"
"SANTAFE","03","128","A","RAFAELA","468","","2015-06-14 22:08:58"
"ROSARIO","14","359","","ROSARIO SEC.15A T.SUIZO","5947","","2015-06-14 22:08:05"
"SANTAFE","03","128","B","RAFAELA (SEC. 2A)","511","","2015-06-14 22:06:44"
"SANTAFE","03","128","A","RAFAELA","487","","2015-06-14 22:01:38"
"SANTAFE","11","048","","SA PEREIRA","3269","","2015-06-14 22:00:32"
"SANTAFE","09","015","","STA.FE (SUB.COM. 3A)","2398","","2015-06-14 21:59:19"
"SANTAFE","11","057","","PILAR","3419","","2015-06-14 21:52:03"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5106","","2015-06-14 21:51:30"
"SANTAFE","11","044","","SAN CARLOS CENTRO","3250","","2015-06-14 21:46:28"
"ROSARIO","13","335","","ROSARIO SEC. 7A","4100","","2015-06-14 21:46:06"
"ROSARIO","20","425","A","SAN LORENZO","7252","","2015-06-14 21:41:59"
"SANTAFE","05","107","","CAYASTA","967","","2015-06-14 21:41:25"
"ROSARIO","13","313","","ROSARIO SEC. 2A","3707","","2015-06-14 21:41:04"
"SANTAFE","07","235","","LAS TOSCAS","1794","","2015-06-14 21:39:00"
"SANTAFE","11","065","","MARIA LUISA","3452","","2015-06-14 21:36:40"
"ROSARIO","13","304","","ROSARIO SEC. 1A","3607","","2015-06-14 21:30:49"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3062","","2015-06-14 21:25:44"
"SANTAFE","09","016","","STA.FE (SEC.10A L.FLORES)","2479","","2015-06-14 21:19:52"
"SANTAFE","09","017","","STA.FE (SEC. 9A)","2620","","2015-06-14 21:18:37"
"SANTAFE","07","230","","VILLA ANA","1722","","2015-06-14 21:17:44"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4896","","2015-06-14 21:15:55"
"SANTAFE","07","224","D","RECONQUISTA","1588","","2015-06-14 21:13:23"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5158","","2015-06-14 21:10:44"
"SANTAFE","10","023","","RECREO","2927","","2015-06-14 21:08:27"
"SANTAFE","10","023","","RECREO","2933","","2015-06-14 21:07:31"
"SANTAFE","03","119","","SANTA EUSEBIA","388","","2015-06-14 21:06:00"
"SANTAFE","07","234","","SAN ANTONIO DE OBLIGADO","1779","","2015-06-14 20:58:46"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5213","","2015-06-14 20:55:57"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5173","","2015-06-14 20:52:56"
"SANTAFE","10","025","","CANDIOTI","2973","","2015-06-14 20:52:30"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6064","","2015-06-14 20:52:19"
"SANTAFE","09","032","","STA.FE (SEC. 7A M.SELVA)","3114","","2015-06-14 20:51:31"
"SANTAFE","09","019","","STA.FE (SEC.8A GUADALUPE)","2711","","2015-06-14 20:43:45"
"SANTAFE","07","223","","NICANOR E. MOLINAS","1479","","2015-06-14 20:38:53"
